S-20D Kaldi 9 WER: 0.589041095890411, S:22, I:13, D:8
S-20D Google 10 WER: 0.4725274725274725, S:30, I:1, D:12
S-20D Kaldi 10 WER: 0.5054945054945055, S:25, I:13, D:8
S-20D Google 11 WER: 0.5147058823529411, S:25, I:2, D:8
S-20D Kaldi 11 WER: 0.39705882352941174, S:19, I:4, D:4
S-29A Google 0 WER: 0.27155172413793105, S:27, I:2, D:34
S-29A Kaldi 0 WER: 0.13793103448275862, S:19, I:6, D:7
S-29A Google 1 WER: 0.24621212121212122, S:22, I:3, D:40
S-29A Kaldi 1 WER: 0.17424242424242425, S:25, I:10, D:11
S-29A Google 2 WER: 0.35074626865671643, S:19, I:0, D:75
S-29A Kaldi 2 WER: 0.11194029850746269, S:18, I:3, D:9
S-29A Google 3 WER: 0.25517241379310346, S:31, I:1, D:42
S-29A Kaldi 3 WER: 0.1206896551724138, S:22, I:6, D:7
S-29A Google 4 WER: 0.2662473794549266, S:40, I:6, D:81
S-29A Kaldi 4 WER: 0.14046121593291405, S:28, I:26, D:13
S-29A Google 5 WER: 0.23046875, S:23, I:2, D:34
S-29A Kaldi 5 WER: 0.11328125, S:15, I:5, D:9
S-29A Google 6 WER: 0.1724137931034483, S:0, I:0, D:5
S-29A Kaldi 6 WER: 0.10344827586206896, S:1, I:2, D:0
S-29A Google 7 WER: 0.1891891891891892, S:8, I:0, D:6
S-29A Kaldi 7 WER: 0.20270270270270271, S:10, I:5, D:0
S-29A Google 8 WER: 0.18055555555555555, S:4, I:0, D:9
S-29A Kaldi 8 WER: 0.16666666666666666, S:6, I:4, D:2
S-29A Google 9 WER: 0.45714285714285713, S:6, I:2, D:8
S-29A Kaldi 9 WER: 0.14285714285714285, S:1, I:2, D:2
S-29A Google 10 WER: 0.22033898305084745, S:7, I:1, D:5
S-29A Kaldi 10 WER: 0.13559322033898305, S:5, I:3, D:0
S-29A Google 11 WER: 0.1956521739130435, S:2, I:0, D:7
S-29A Kaldi 11 WER: 0.30434782608695654, S:9, I:0, D:5
S-14B Google 0 WER: 0.3987538940809969, S:64, I:1, D:63
S-14B Kaldi 0 WER: 0.3052959501557632, S:41, I:27, D:30
S-14B Google 1 WER: 0.4006024096385542, S:63, I:2, D:68
S-14B Kaldi 1 WER: 0.3132530120481928, S:41, I:18, D:45
S-14B Google 2 WER: 0.36977491961414793, S:61, I:5, D:49
S-14B Kaldi 2 WER: 0.27009646302250806, S:43, I:13, D:28
S-14B Google 3 WER: 0.5118110236220472, S:39, I:0, D:26
S-14B Kaldi 3 WER: 0.44881889763779526, S:33, I:14, D:10
S-14B Google 4 WER: 0.4152823920265781, S:59, I:4, D:62
S-14B Kaldi 4 WER: 0.2757475083056478, S:39, I:20, D:24
S-14B Google 5 WER: 0.3182844243792325, S:67, I:9, D:65
S-14B Kaldi 5 WER: 0.2054176072234763, S:52, I:17, D:22
S-14B Google 6 WER: 0.38095238095238093, S:7, I:0, D:17
S-14B Kaldi 6 WER: 0.2857142857142857, S:7, I:5, D:6
S-14B Google 7 WER: 0.20512820512820512, S:6, I:1, D:9
S-14B Kaldi 7 WER: 0.32051282051282054, S:13, I:10, D:2
S-14B Google 8 WER: 0.3103448275862069, S:2, I:0, D:7
S-14B Kaldi 8 WER: 0.3103448275862069, S:2, I:2, D:5
S-32D Google 0 WER: 0.47058823529411764, S:44, I:12, D:48
S-32D Kaldi 0 WER: 0.3755656108597285, S:37, I:31, D:15
S-32D Google 1 WER: 0.35051546391752575, S:35, I:1, D:66
S-32D Kaldi 1 WER: 0.19243986254295534, S:36, I:5, D:15
S-32D Google 2 WER: 0.4410480349344978, S:43, I:0, D:58
S-32D Kaldi 2 WER: 0.3624454148471616, S:39, I:16, D:28
S-32D Google 3 WER: 0.39245283018867927, S:27, I:0, D:77
S-32D Kaldi 3 WER: 0.16226415094339622, S:21, I:8, D:14
S-32D Google 4 WER: 0.5393258426966292, S:31, I:1, D:112
S-32D Kaldi 4 WER: 0.2209737827715356, S:28, I:10, D:21
S-32D Google 5 WER: 0.32682926829268294, S:22, I:3, D:42
S-32D Kaldi 5 WER: 0.1902439024390244, S:20, I:12, D:7
S-32D Google 6 WER: 0.5230769230769231, S:10, I:0, D:24
S-32D Kaldi 6 WER: 0.27692307692307694, S:7, I:2, D:9
S-32D Google 7 WER: 0.4854368932038835, S:18, I:0, D:32
S-32D Kaldi 7 WER: 0.2621359223300971, S:11, I:0, D:16
S-32D Google 8 WER: 0.35714285714285715, S:4, I:0, D:6
S-32D Kaldi 8 WER: 0.21428571428571427, S:1, I:3, D:2
S-32D Google 9 WER: 0.33766233766233766, S:25, I:1, D:26
S-32D Kaldi 9 WER: 0.2597402597402597, S:20, I:3, D:17
S-32D Google 10 WER: 0.7692307692307693, S:2, I:1, D:7
S-32D Kaldi 10 WER: 0.46153846153846156, S:2, I:3, D:1
S-32D Google 11 WER: 0.5, S:9, I:10, D:9
S-32D Kaldi 11 WER: 0.26785714285714285, S:3, I:8, D:4
